target_end_date,location,value,target_variable,model
2013-06-02,hhs7,0.184536,inc wili,observed data
2013-06-02,hhs8,0.731714,inc wili,observed data
2013-06-02,hhs9,1.418,inc wili,observed data
2013-06-02,nat,0.920349,inc wili,observed data
2013-06-09,hhs1,0.47561,inc wili,observed data
2013-06-09,hhs10,0.349294,inc wili,observed data
2013-06-09,hhs2,1.21075,inc wili,observed data
2013-06-09,hhs3,1.19998,inc wili,observed data
2013-06-09,hhs4,0.503904,inc wili,observed data
2013-06-09,hhs5,0.860912,inc wili,observed data
2013-06-09,hhs6,1.24818,inc wili,observed data
2013-06-09,hhs7,0.169888,inc wili,observed data
2013-06-09,hhs8,0.681907,inc wili,observed data
2013-06-09,hhs9,1.46578,inc wili,observed data
2013-06-09,nat,0.920779,inc wili,observed data
2013-06-16,hhs1,0.391668,inc wili,observed data
2013-06-16,hhs10,0.284769,inc wili,observed data
2013-06-16,hhs2,1.16455,inc wili,observed data
2013-06-16,hhs3,0.849521,inc wili,observed data
2013-06-16,hhs4,0.509231,inc wili,observed data
2013-06-16,hhs5,0.793133,inc wili,observed data
2013-06-16,hhs6,1.58591,inc wili,observed data
2013-06-16,hhs7,0.257195,inc wili,observed data
2013-06-16,hhs8,0.655891,inc wili,observed data
2013-06-16,hhs9,1.42122,inc wili,observed data
2013-06-16,nat,0.904333,inc wili,observed data
2013-06-23,hhs1,0.430542,inc wili,observed data
2013-06-23,hhs10,0.188386,inc wili,observed data
2013-06-23,hhs2,1.13266,inc wili,observed data
2013-06-23,hhs3,0.783896,inc wili,observed data
2013-06-23,hhs4,0.475328,inc wili,observed data
2013-06-23,hhs5,0.771008,inc wili,observed data
2013-06-23,hhs6,1.42071,inc wili,observed data
2013-06-23,hhs7,0.123,inc wili,observed data
2013-06-23,hhs8,0.617954,inc wili,observed data
2013-06-23,hhs9,1.26664,inc wili,observed data
2013-06-23,nat,0.83057,inc wili,observed data
2013-06-30,hhs1,0.430427,inc wili,observed data
2013-06-30,hhs10,0.152616,inc wili,observed data
2013-06-30,hhs2,0.743763,inc wili,observed data
2013-06-30,hhs3,0.785548,inc wili,observed data
2013-06-30,hhs4,0.637141,inc wili,observed data
2013-06-30,hhs5,0.92703,inc wili,observed data
2013-06-30,hhs6,1.55464,inc wili,observed data
2013-06-30,hhs7,0.100862,inc wili,observed data
2013-06-30,hhs8,0.561213,inc wili,observed data
2013-06-30,hhs9,1.24862,inc wili,observed data
2013-06-30,nat,0.862837,inc wili,observed data
2013-07-07,hhs1,0.384096,inc wili,observed data
2013-07-07,hhs10,0.247997,inc wili,observed data
2013-07-07,hhs2,0.968167,inc wili,observed data
2013-07-07,hhs3,0.617311,inc wili,observed data
2013-07-07,hhs4,0.35574,inc wili,observed data
2013-07-07,hhs5,0.717799,inc wili,observed data
2013-07-07,hhs6,1.42515,inc wili,observed data
2013-07-07,hhs7,0.104753,inc wili,observed data
2013-07-07,hhs8,0.499137,inc wili,observed data
2013-07-07,hhs9,1.06856,inc wili,observed data
2013-07-07,nat,0.732182,inc wili,observed data
2013-07-14,hhs1,0.388478,inc wili,observed data
2013-07-14,hhs10,0.223801,inc wili,observed data
2013-07-14,hhs2,0.877442,inc wili,observed data
2013-07-14,hhs3,0.636361,inc wili,observed data
2013-07-14,hhs4,0.377015,inc wili,observed data
2013-07-14,hhs5,0.666799,inc wili,observed data
2013-07-14,hhs6,1.35908,inc wili,observed data
2013-07-14,hhs7,0.131559,inc wili,observed data
2013-07-14,hhs8,0.573639,inc wili,observed data
2013-07-14,hhs9,1.12243,inc wili,observed data
2013-07-14,nat,0.724558,inc wili,observed data
2013-07-21,hhs1,0.343594,inc wili,observed data
2013-07-21,hhs10,0.237772,inc wili,observed data
2013-07-21,hhs2,0.877353,inc wili,observed data
2013-07-21,hhs3,0.653406,inc wili,observed data
2013-07-21,hhs4,0.532806,inc wili,observed data
2013-07-21,hhs5,0.624777,inc wili,observed data
2013-07-21,hhs6,1.20512,inc wili,observed data
2013-07-21,hhs7,0.13277,inc wili,observed data
2013-07-21,hhs8,0.718513,inc wili,observed data
2013-07-21,hhs9,1.16379,inc wili,observed data
2013-07-21,nat,0.740848,inc wili,observed data
2013-07-28,hhs1,0.343561,inc wili,observed data
2013-07-28,hhs10,0.196758,inc wili,observed data
2013-07-28,hhs2,0.888017,inc wili,observed data
2013-07-28,hhs3,0.762736,inc wili,observed data
2013-07-28,hhs4,0.364307,inc wili,observed data
2013-07-28,hhs5,0.669585,inc wili,observed data
2013-07-28,hhs6,1.37829,inc wili,observed data
2013-07-28,hhs7,0.124041,inc wili,observed data
2013-07-28,hhs8,0.508805,inc wili,observed data
2013-07-28,hhs9,1.08253,inc wili,observed data
2013-07-28,nat,0.726037,inc wili,observed data
2013-08-04,hhs1,0.392263,inc wili,observed data
2013-08-04,hhs10,0.212315,inc wili,observed data
